max_time;nodes;formula_size;sample_count;compilation;visualization;simulation;
100;10;4;1000000;129008;250;106325;
100;10;4;1000000;108172;231;99574;
100;10;4;1000000;109570;242;100799;
100;10;4;1000000;113357;256;100298;
100;10;4;1000000;106167;276;101637;
100;20;4;1000000;111216;231;101714;
100;20;4;1000000;113946;282;103135;
100;20;4;1000000;111993;245;100343;
100;20;4;1000000;111748;269;100016;
100;20;4;1000000;112835;242;102048;
100;30;4;1000000;118412;207;98672;
100;30;4;1000000;119412;172;99872;
100;30;4;1000000;119074;176;100185;
100;30;4;1000000;117472;226;99908;
100;30;4;1000000;120314;176;99889;
100;40;4;1000000;122917;201;109068;
100;40;4;1000000;123586;163;109487;
100;40;4;1000000;121958;208;110276;
100;40;4;1000000;124356;158;109556;
100;40;4;1000000;121778;201;110616;
100;50;4;1000000;128121;160;106395;
100;50;4;1000000;128748;162;107448;
100;50;4;1000000;131888;161;106675;
100;50;4;1000000;129740;172;107502;
100;50;4;1000000;130940;163;104722;
100;60;4;1000000;134735;189;107681;
100;60;4;1000000;136583;153;107272;
100;60;4;1000000;134079;220;108060;
100;60;4;1000000;137375;159;107209;
100;60;4;1000000;139006;157;108034;
100;70;4;1000000;144494;158;112735;
100;70;4;1000000;140959;144;114035;
100;70;4;1000000;142787;153;113213;
100;70;4;1000000;145289;193;112916;
100;70;4;1000000;143844;190;113905;
100;80;4;1000000;147392;151;114911;
100;80;4;1000000;144220;191;117620;
100;80;4;1000000;144652;133;114847;
100;80;4;1000000;151252;140;114923;
100;80;4;1000000;149369;156;115224;
100;90;4;1000000;155940;131;108158;
100;90;4;1000000;149707;175;107067;
100;90;4;1000000;158942;142;106756;
100;90;4;1000000;159156;142;107872;
100;90;4;1000000;149711;143;108005;
100;100;4;1000000;160350;143;107513;
100;100;4;1000000;166778;174;106202;
100;100;4;1000000;164137;131;106382;
100;100;4;1000000;163152;153;105903;
100;100;4;1000000;163916;128;107872;
100;200;4;1000000;229180;122;152488;
100;200;4;1000000;225118;129;152094;
100;200;4;1000000;228116;121;153375;
100;200;4;1000000;225360;125;153579;
100;200;4;1000000;230597;121;152153;
100;300;4;1000000;286054;118;289062;
100;300;4;1000000;284751;121;288350;
100;300;4;1000000;285228;130;289068;
100;300;4;1000000;282651;125;289094;
100;300;4;1000000;284667;131;291155;
100;400;4;1000000;334924;108;514819;
100;400;4;1000000;339573;104;517924;
100;400;4;1000000;334234;152;516589;
100;400;4;1000000;364031;120;517787;
100;400;4;1000000;334474;162;518137;
100;500;4;1000000;427173;123;1210750;
100;500;4;1000000;401831;117;1211340;
100;500;4;1000000;428055;206;1211139;
100;500;4;1000000;431693;127;1214361;
100;500;4;1000000;463989;128;1212193;
100;600;4;1000000;503052;130;1457900;
100;600;4;1000000;474197;132;1455807;
100;600;4;1000000;501709;142;1458514;
100;600;4;1000000;480916;127;1455362;
100;600;4;1000000;498146;126;1455530;
100;700;4;1000000;585695;172;1715038;
100;700;4;1000000;553067;137;1716976;
100;700;4;1000000;555745;135;1718132;
100;700;4;1000000;529619;129;1714132;
100;700;4;1000000;528184;138;1716965;
100;800;4;1000000;658954;140;1972516;
100;800;4;1000000;639796;147;1973138;
100;800;4;1000000;627052;147;1974333;
100;800;4;1000000;633399;143;1974322;
100;800;4;1000000;647820;147;1973664;
100;900;4;1000000;726618;156;2212413;
100;900;4;1000000;664885;142;2212472;
100;900;4;1000000;667800;142;2212024;
100;900;4;1000000;670457;144;2212540;
100;900;4;1000000;676807;147;2214111;
100;1000;4;1000000;818233;165;2422269;
100;1000;4;1000000;802349;156;2417323;
100;1000;4;1000000;793417;161;2428536;
100;1000;4;1000000;798272;161;2416222;
100;1000;4;1000000;810430;161;2418487;
100;100;4;1000000;158365;125;116414;
100;100;4;1000000;160057;131;107698;
100;100;4;1000000;164499;160;106823;
100;100;4;1000000;161514;135;106655;
100;100;4;1000000;163838;146;106900;
100;100;4;2000000;165454;138;188092;
100;100;4;2000000;159374;134;188311;
100;100;4;2000000;169960;159;189593;
100;100;4;2000000;159675;133;187039;
100;100;4;2000000;168282;140;188577;
100;100;4;3000000;155974;139;268304;
100;100;4;3000000;158014;133;269089;
100;100;4;3000000;157725;142;268098;
100;100;4;3000000;170232;160;270938;
100;100;4;3000000;173192;145;269091;
100;100;4;4000000;160480;136;349479;
100;100;4;4000000;158323;228;349149;
100;100;4;4000000;167128;150;350252;
100;100;4;4000000;169971;146;351491;
100;100;4;4000000;173603;144;351479;
100;100;4;5000000;156615;132;432931;
100;100;4;5000000;164038;138;431292;
100;100;4;5000000;157518;132;433594;
100;100;4;5000000;165681;144;433473;
100;100;4;5000000;164003;155;434727;
100;100;4;6000000;166429;141;514211;
100;100;4;6000000;167207;143;515137;
100;100;4;6000000;168086;159;515831;
100;100;4;6000000;164175;166;514754;
100;100;4;6000000;170346;138;516390;
100;100;4;7000000;168846;146;598563;
100;100;4;7000000;167462;154;598884;
100;100;4;7000000;167272;145;597710;
100;100;4;7000000;164074;144;598150;
100;100;4;7000000;165094;143;598715;
100;100;4;8000000;169908;170;680969;
100;100;4;8000000;166955;161;681837;
100;100;4;8000000;168625;163;681763;
100;100;4;8000000;164678;143;682682;
100;100;4;8000000;167485;142;681881;
100;100;4;9000000;170824;143;764857;
100;100;4;9000000;162507;118;765406;
100;100;4;9000000;159659;136;765992;
100;100;4;9000000;165670;160;766537;
100;100;4;9000000;173336;154;770606;
100;100;4;10000000;171043;149;851282;
100;100;4;10000000;170821;149;851337;
100;100;4;10000000;165637;148;852504;
100;100;4;10000000;170818;148;851109;
100;100;4;10000000;166371;151;852023;
100;100;4;1000000;159021;128;109575;
100;100;4;1000000;176681;146;109723;
100;100;4;1000000;159779;123;109404;
100;100;4;1000000;166899;150;108440;
100;100;4;1000000;170486;153;109547;
200;100;4;1000000;174953;292;183233;
200;100;4;1000000;175032;304;184400;
200;100;4;1000000;174198;289;184181;
200;100;4;1000000;167897;284;184122;
200;100;4;1000000;172107;292;183744;
300;100;4;1000000;174262;476;260145;
300;100;4;1000000;158309;415;260267;
300;100;4;1000000;172074;493;259696;
300;100;4;1000000;165858;454;260496;
300;100;4;1000000;167245;467;260504;
400;100;4;1000000;171324;671;369473;
400;100;4;1000000;166995;668;368961;
400;100;4;1000000;166903;661;369931;
400;100;4;1000000;170163;640;368155;
400;100;4;1000000;177521;645;369993;
500;100;4;1000000;169922;857;450922;
500;100;4;1000000;173121;897;451009;
500;100;4;1000000;158716;746;452392;
500;100;4;1000000;174369;850;451101;
500;100;4;1000000;173358;876;452102;
600;100;4;1000000;163535;947;533359;
600;100;4;1000000;166230;1041;531508;
600;100;4;1000000;171925;1018;533133;
600;100;4;1000000;171691;1042;533279;
600;100;4;1000000;165342;981;532064;
700;100;4;1000000;172314;1254;614703;
