max_time;nodes;formula_size;sample_count;compilation;visualization;simulation;
100;10;4;1000000;697863;220;50377;
100;10;4;1000000;387784;225;50305;
100;10;4;1000000;388156;233;50628;
100;10;4;1000000;385704;214;50272;
100;10;4;1000000;386580;239;50319;
100;20;4;1000000;669075;300;50774;
100;20;4;1000000;393328;228;51332;
100;20;4;1000000;387948;233;51223;
100;20;4;1000000;390242;230;51103;
100;20;4;1000000;399535;228;51274;
100;30;4;1000000;687448;172;39788;
100;30;4;1000000;396672;178;40215;
100;30;4;1000000;396923;174;40230;
100;30;4;1000000;396345;170;40188;
100;30;4;1000000;396638;177;40190;
100;40;4;1000000;713234;171;39142;
100;40;4;1000000;399293;179;39462;
100;40;4;1000000;397502;178;39580;
100;40;4;1000000;399143;166;39511;
100;40;4;1000000;397989;179;39441;
100;50;4;1000000;735703;171;39650;
100;50;4;1000000;405351;170;39968;
100;50;4;1000000;406212;172;39873;
100;50;4;1000000;399774;184;39981;
100;50;4;1000000;402359;171;39974;
100;60;4;1000000;756315;154;40203;
100;60;4;1000000;409744;156;40474;
100;60;4;1000000;405481;165;40419;
100;60;4;1000000;409575;162;40543;
100;60;4;1000000;403552;163;40554;
100;70;4;1000000;783293;164;45409;
100;70;4;1000000;414194;153;45466;
100;70;4;1000000;420231;156;45618;
100;70;4;1000000;406824;155;45532;
100;70;4;1000000;409839;156;45695;
100;80;4;1000000;807260;131;45132;
100;80;4;1000000;414630;145;45543;
100;80;4;1000000;421722;144;45415;
100;80;4;1000000;415784;151;45455;
100;80;4;1000000;415489;141;45460;
100;90;4;1000000;826968;139;43926;
100;90;4;1000000;422199;140;44336;
100;90;4;1000000;442745;140;44130;
100;90;4;1000000;417514;137;44281;
100;90;4;1000000;417170;140;44096;
100;100;4;1000000;857149;138;46616;
100;100;4;1000000;424699;134;46877;
100;100;4;1000000;421413;143;46968;
100;100;4;1000000;419828;137;47014;
100;100;4;1000000;420396;135;46919;
100;200;4;1000000;1161432;115;68156;
100;200;4;1000000;464469;123;67313;
100;200;4;1000000;462423;130;67176;
100;200;4;1000000;461578;126;67183;
100;200;4;1000000;463999;131;67372;
100;300;4;1000000;1475857;120;122764;
100;300;4;1000000;510737;124;122046;
100;300;4;1000000;509580;128;121891;
100;300;4;1000000;512431;123;121977;
100;300;4;1000000;508692;133;121937;
100;400;4;1000000;1753389;119;202240;
100;400;4;1000000;559785;124;199733;
100;400;4;1000000;560644;124;200214;
100;400;4;1000000;558620;128;200391;
100;400;4;1000000;562825;124;199667;
100;500;4;1000000;1844998;120;410457;
100;500;4;1000000;602397;134;410073;
100;500;4;1000000;599114;137;409934;
100;500;4;1000000;596595;135;410659;
100;500;4;1000000;600137;141;409998;
100;600;4;1000000;2158157;159;498245;
100;600;4;1000000;656676;143;498990;
100;600;4;1000000;650165;144;497214;
100;600;4;1000000;655093;137;497640;
100;600;4;1000000;644632;140;498094;
100;800;4;1000000;750269;152;681809;
100;800;4;1000000;749124;147;678848;
100;800;4;1000000;749932;153;683221;
100;800;4;1000000;754226;154;682127;
100;800;4;1000000;751527;150;693155;
100;1000;4;1000000;856237;163;820056;
100;1000;4;1000000;854369;166;830637;
100;1000;4;1000000;846557;163;829682;
100;1000;4;1000000;851524;163;831992;
100;1000;4;1000000;854609;167;833506;
100;100;4;1000000;430696;136;46959;
100;100;4;1000000;426214;140;47019;
