name;nodes;sample_count;compilation;visualization;simulation;
cellcycle;10;1000000;525479;550;54604;
cellcycle;10;1000000;114988;243;47079;
cellcycle;10;1000000;113691;249;46969;
cellcycle;10;1000000;110841;213;45390;
cellcycle;10;1000000;107306;241;47631;
metastasis;32;1000;491538;1639;6810;
metastasis;32;1000;121901;1733;7307;
metastasis;32;1000;120588;1722;7814;
metastasis;32;1000;120594;1757;7361;
metastasis;32;1000;119292;1799;7007;
Montagud;133;1000000;703598;9687;292643;
Montagud;133;1000000;145545;9627;280778;
Montagud;133;1000000;147256;9522;282653;
Montagud;133;1000000;151373;9431;282454;
Montagud;133;1000000;158983;10692;283853;
sizek;87;1000000;250179;461;440003;
sizek;87;1000000;192994;512;431452;
sizek;87;1000000;174357;481;431806;
sizek;87;1000000;198483;460;430774;
sizek;87;1000000;178093;422;429449;
