name;nodes;sample_count;compilation;visualization;simulation;
cellcycle;10;1000000;850910;575;912686;
cellcycle;10;1000000;386282;218;21564;
cellcycle;10;1000000;394318;209;21564;
cellcycle;10;1000000;384296;216;21722;
cellcycle;10;1000000;391743;209;21582;
metastasis;32;1000;694232;1510;4815;
metastasis;32;1000;397038;1613;5279;
metastasis;32;1000;401311;1485;5273;
metastasis;32;1000;397000;1477;5108;
metastasis;32;1000;398331;1466;5107;
Montagud;133;1000000;849720;8577;173407;
Montagud;133;1000000;415762;8721;173527;
Montagud;133;1000000;403695;12576;173742;
Montagud;133;1000000;403812;8612;173629;
Montagud;133;1000000;417956;8547;173554;
sizek;87;1000000;497401;400;205262;
sizek;87;1000000;435915;415;205794;
sizek;87;1000000;436661;407;205134;
sizek;87;1000000;441175;416;205473;
sizek;87;1000000;437285;401;205249;
