max_time;nodes;formula_size;sample_count;compilation;visualization;simulation;
100;10;4;1000000;1499863;1714;227952;
100;10;4;1000000;458169;1154;198614;
100;10;4;1000000;450488;1178;197119;
100;10;4;1000000;448241;1196;197977;
100;10;4;1000000;444344;1177;197995;
100;20;4;1000000;1586880;1137;200725;
100;20;4;1000000;472991;1147;197104;
100;20;4;1000000;472451;1184;197308;
100;20;4;1000000;465161;1143;198214;
100;20;4;1000000;472009;1159;198810;
100;30;4;1000000;1635695;794;195553;
100;30;4;1000000;479620;817;195044;
100;30;4;1000000;470070;818;195280;
100;30;4;1000000;489634;817;194186;
100;30;4;1000000;488583;823;194175;
100;40;4;1000000;1737430;786;231025;
100;40;4;1000000;504331;806;230529;
100;40;4;1000000;502875;792;230230;
100;40;4;1000000;498845;801;228987;
100;40;4;1000000;497636;775;228771;
100;50;4;1000000;1857588;737;228627;
100;50;4;1000000;525443;756;228406;
100;50;4;1000000;519445;929;230131;
100;50;4;1000000;507090;775;230145;
100;50;4;1000000;524647;751;229554;
100;60;4;1000000;1918452;692;228288;
100;60;4;1000000;530184;701;227862;
100;60;4;1000000;523853;704;229604;
100;60;4;1000000;529103;708;228422;
100;60;4;1000000;535198;698;228340;
100;70;4;1000000;2031648;658;225187;
100;70;4;1000000;554741;663;222733;
100;70;4;1000000;549188;661;222527;
100;70;4;1000000;540412;660;223760;
100;70;4;1000000;547587;684;224268;
100;80;4;1000000;2129063;647;223647;
100;80;4;1000000;572848;648;222869;
100;80;4;1000000;570000;627;222133;
100;80;4;1000000;579583;651;225594;
100;80;4;1000000;566354;640;221910;
100;90;4;1000000;2201344;618;181159;
100;90;4;1000000;577631;618;180707;
100;90;4;1000000;592865;621;182317;
100;90;4;1000000;575834;607;180417;
100;90;4;1000000;578774;623;179894;
100;100;4;1000000;2311314;592;181655;
100;100;4;1000000;599811;589;181204;
100;100;4;1000000;595968;590;180260;
100;100;4;1000000;595953;590;180714;
100;100;4;1000000;594407;588;183139;
100;200;4;1000000;3478548;546;223506;
100;200;4;1000000;778618;559;220985;
100;200;4;1000000;752929;555;221946;
100;200;4;1000000;758421;555;221078;
100;200;4;1000000;758487;556;221605;
100;300;4;1000000;4660385;522;391712;
100;300;4;1000000;957399;539;389325;
100;300;4;1000000;938902;539;389104;
100;300;4;1000000;955414;528;390416;
100;300;4;1000000;928480;541;389635;
100;400;4;1000000;5735630;511;565197;
100;400;4;1000000;1129935;518;562303;
100;400;4;1000000;1154534;515;562064;
100;400;4;1000000;1117562;510;560527;
100;400;4;1000000;1133474;503;560936;
100;500;4;1000000;6141925;537;897090;
100;500;4;1000000;1333320;544;898073;
100;500;4;1000000;1298682;536;897365;
100;500;4;1000000;1296987;554;897263;
100;500;4;1000000;1293187;540;898560;
100;600;4;1000000;7261806;554;1111327;
100;600;4;1000000;1516506;569;1109764;
100;600;4;1000000;1487558;569;1106587;
100;600;4;1000000;1478110;577;1106712;
100;600;4;1000000;1471351;565;1105701;
100;700;4;1000000;1742119;585;1585889;
100;700;4;1000000;1711322;587;1561932;
100;700;4;1000000;1716124;590;1564815;
100;700;4;1000000;1676758;593;1561442;
100;700;4;1000000;1712999;590;1558914;
100;800;4;1000000;1931212;617;1772734;
100;800;4;1000000;1939312;614;1770872;
100;800;4;1000000;1882857;613;1770422;
100;800;4;1000000;1932339;608;1766339;
100;800;4;1000000;1885782;611;1770136;
100;900;4;1000000;2149821;636;1941855;
100;900;4;1000000;2091860;634;1940058;
100;900;4;1000000;2140286;638;1950043;
100;900;4;1000000;2087762;638;1951653;
100;900;4;1000000;2131474;628;1945454;
100;1000;4;1000000;2348376;663;1967800;
100;1000;4;1000000;2348762;662;1958573;
100;1000;4;1000000;2290704;671;1957901;
100;1000;4;1000000;2340400;654;1957840;
100;1000;4;1000000;2350974;658;1957744;
100;100;4;1000000;606757;595;183888;
100;100;4;1000000;596315;584;181526;
100;100;4;1000000;593906;597;180975;
100;100;4;1000000;602035;589;180501;
100;100;4;1000000;595645;584;180552;
100;100;4;2000000;610249;628;330263;
100;100;4;2000000;605423;607;329351;
100;100;4;2000000;609460;616;328996;
100;100;4;2000000;610172;631;329636;
100;100;4;2000000;604326;599;328628;
100;100;4;3000000;590754;609;477218;
100;100;4;3000000;594694;621;476962;
100;100;4;3000000;594854;613;477901;
100;100;4;3000000;609116;621;477930;
100;100;4;3000000;599507;607;478088;
100;100;4;4000000;622258;624;623829;
100;100;4;4000000;590064;606;624269;
100;100;4;4000000;589402;621;624786;
100;100;4;4000000;596201;610;624762;
100;100;4;4000000;598460;620;623228;
100;100;4;5000000;596427;624;772975;
100;100;4;5000000;613791;628;774818;
100;100;4;5000000;597796;609;773728;
100;100;4;5000000;601613;613;773913;
100;100;4;5000000;605840;624;775379;
100;100;4;6000000;594982;620;921482;
100;100;4;6000000;596094;622;920557;
100;100;4;6000000;600698;631;920445;
100;100;4;6000000;591119;612;920097;
100;100;4;6000000;605250;637;919938;
100;100;4;7000000;609297;632;1067185;
100;100;4;7000000;606533;643;1071315;
100;100;4;7000000;598379;636;1068958;
100;100;4;7000000;597850;632;1066892;
100;100;4;7000000;598972;640;1068224;
100;100;4;8000000;603371;640;1222714;
100;100;4;8000000;600997;634;1220047;
100;100;4;8000000;594039;636;1218387;
100;100;4;8000000;589800;640;1219350;
100;100;4;8000000;605762;644;1217351;
100;100;4;9000000;592384;643;1363008;
100;100;4;9000000;597145;653;1364517;
100;100;4;9000000;578358;626;1363631;
100;100;4;9000000;603253;636;1363935;
100;100;4;9000000;593671;636;1363366;
100;100;4;10000000;598876;627;1512074;
100;100;4;10000000;597258;644;1512725;
100;100;4;10000000;598874;623;1513394;
100;100;4;10000000;597092;627;1513400;
100;100;4;10000000;597258;644;1510795;
100;100;4;1000000;602655;598;180891;
100;100;4;1000000;594562;582;181342;
100;100;4;1000000;587054;592;181454;
100;100;4;1000000;612522;591;181101;
100;100;4;1000000;585784;603;181030;
200;100;4;1000000;2320527;1165;317563;
200;100;4;1000000;594147;1697;318347;
200;100;4;1000000;599819;1194;318848;
200;100;4;1000000;605841;1185;318943;
200;100;4;1000000;603309;1189;320501;
300;100;4;1000000;2307854;1857;455612;
300;100;4;1000000;602134;1878;455760;
300;100;4;1000000;582714;1879;456710;
300;100;4;1000000;593849;1868;455878;
300;100;4;1000000;608624;1859;456869;
400;100;4;1000000;2314044;2587;669471;
400;100;4;1000000;594243;2584;670271;
400;100;4;1000000;595448;2611;670666;
400;100;4;1000000;587059;2616;670752;
400;100;4;1000000;580381;2598;669933;
500;100;4;1000000;2323098;3355;823963;
500;100;4;1000000;603885;3381;825949;
500;100;4;1000000;592348;3449;826318;
500;100;4;1000000;599319;3405;828283;
500;100;4;1000000;600372;3387;824541;
600;100;4;1000000;2316874;4075;981525;
600;100;4;1000000;603596;4118;981978;
600;100;4;1000000;602348;4109;980755;
600;100;4;1000000;590276;4052;981508;
600;100;4;1000000;598239;4102;981451;
700;100;4;1000000;2321080;4801;1134929;
700;100;4;1000000;609441;4838;1136137;
700;100;4;1000000;601021;4819;1135604;
700;100;4;1000000;589996;4859;1136183;
700;100;4;1000000;607397;4872;1136446;
800;100;4;1000000;2313097;5601;1286103;
800;100;4;1000000;610593;5603;1287671;
800;100;4;1000000;601767;5633;1289533;
800;100;4;1000000;590613;5542;1290192;
800;100;4;1000000;602232;5607;1288034;
900;100;4;1000000;2315043;6283;1446023;
900;100;4;1000000;592101;6370;1445233;
900;100;4;1000000;597966;6383;1445412;
900;100;4;1000000;606735;6305;1445579;
900;100;4;1000000;591764;6337;1446464;
1000;100;4;1000000;2314473;7174;1596123;
1000;100;4;1000000;595837;7152;1596907;
1000;100;4;1000000;596121;7061;1595787;
1000;100;4;1000000;596185;7246;1595481;
1000;100;4;1000000;606371;7002;1594250;
100;100;4;1000000;612122;600;181168;
100;100;4;1000000;596570;589;180981;
100;100;4;1000000;595189;601;182505;
100;100;4;1000000;599267;586;180400;
100;100;4;1000000;614747;592;180737;
100;100;9;1000000;2873002;602;188949;
100;100;9;1000000;679836;623;182041;
100;100;9;1000000;678722;628;184111;
100;100;9;1000000;681326;621;182780;
100;100;9;1000000;687377;608;183331;
100;100;14;1000000;3576890;656;185020;
100;100;14;1000000;777424;635;185599;
100;100;14;1000000;768539;640;185862;
100;100;14;1000000;774340;635;189185;
100;100;14;1000000;777236;635;187137;
100;100;19;1000000;4310307;664;186188;
100;100;19;1000000;844561;676;187468;
100;100;19;1000000;838254;664;186204;
100;100;19;1000000;840076;657;186334;
100;100;19;1000000;841380;680;186856;
100;100;24;1000000;5214856;715;194429;
100;100;24;1000000;930850;727;193373;
100;100;24;1000000;936701;724;193067;
100;100;24;1000000;948748;736;194055;
100;100;24;1000000;953292;725;193071;
