algorithm	dataset	seed	size	cpus	time
mpi	s1k	1	1000000	32	69895.0
mpi	s1k	1	1000000	64	35547.0
mpi	s1k	1	1000000	96	23613.333333333332
mpi	s1k	1	1000000	128	17777.0
mpi	s1k	1	1000000	192	12016.333333333334
mpi	s1k	1	1000000	256	9017.0
mpi	s1k	1	1000000	384	6076.333333333333
mpi	s1k	1	1000000	512	4491.666666666667
mpi	s1k	1	1000000	768	3030.3333333333335
mpi	s1k	1	1000000	1024	2300.0
mpi	s1k	1	1000000	1536	1529.0
mpi	s1k	1	1000000	2048	1156.0
mpi	s1k	1	1000000	3072	790.3333333333334
mpi	s1k	1	1000000	4096	588.3333333333334
mpi	s1k	1	1000000	6144	430.0
