algorithm	dataset	seed	size	cpus	time
old	sizek	1	1000000	1	6503.0
new	sizek	1	1000000	1	8265.0
old	sizek	1	1000000	2	3328.3333333333335
new	sizek	1	1000000	2	4786.0
old	sizek	1	1000000	5	1788.6666666666667
new	sizek	1	1000000	5	1918.6666666666667
old	sizek	1	1000000	10	1450.6666666666667
new	sizek	1	1000000	10	967.0
old	sizek	1	1000000	15	1389.3333333333333
new	sizek	1	1000000	15	657.6666666666666
mpi	sizek	1	1000000	20	498.0
new	sizek	1	1000000	20	498.0
old	sizek	1	1000000	20	1365.0
old	sizek	1	1000000	30	1359.6666666666667
new	sizek	1	1000000	30	427.0
new	sizek	1	1000000	40	422.0
old	sizek	1	1000000	40	1366.3333333333333
mpi	sizek	1	1000000	40	254.33333333333334
mpi	sizek	1	1000000	60	170.0
mpi	sizek	1	1000000	80	128.0
mpi	sizek	1	1000000	120	85.66666666666667
mpi	sizek	1	1000000	160	65.0
mpi	sizek	1	1000000	240	42.666666666666664
mpi	sizek	1	1000000	320	32.0
mpi	sizek	1	1000000	480	22.0
mpi	sizek	1	1000000	640	16.666666666666668
mpi	sizek	1	1000000	960	12.666666666666666
mpi	sizek	1	1000000	1280	9.666666666666666
mpi	sizek	1	1000000	1920	8.666666666666666
mpi	sizek	1	1000000	2560	8.333333333333334
mpi	sizek	1	1000000	3840	9.666666666666666
